l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8:00 a.m.,,,,,,,,,9:30 a.m.,,,,,,,,,11:00 a.m.,,,,,,,,,12:30 p.m.,,,,,,,,,2:00 p.m.,,,,,,,,,3:30 p.m.,,,,,,,,,5:00 p.m.,,,,,,,,,6:30 p.m.,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,,,,8:00 p.m.
Monday                 ,CS-1,Machine Learning (MS-DS),,,,,,,,,Advanced Programming (CS),,,,,,,,,Computational Intelligence (MS),,,,,,,,,Data Sceince (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,No Class (NO),,,,,,,,,No Class (NO),,,,,,,,,Software Testing (CS-A),,,,,,,,,Human Computer Interaction (CS-F),,,,,,,,,Human Computer Interaction (CS-C),,,,,,,,,No Class (NO),,,,,,,,,Requirement Engineering (MS-SPM-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,Technical & Business Writing (CS-C),,,,,,,,,Numerical Methods (CS-B),,,,,,,,,Computer Architecture (CS-B),,,,,,,,,Numerical Methods (CS-A),,,,,,,,,Computer Architecture (CS-A),,,,,,,,,Differential Equations (Cal II) (CS-F),,,,,,,,,Calculus-II (CS-R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,No Class (NO),,,,,,,,,No Class (NO),,,,,,,,,No Class (NO),,,,,,,,,Software for Mobile Devices (CS-A),,,,,,,,,No Class (NO),,,,,,,,,Software for Mobile Devices (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,Mass Communication (CS),,,,,,,,,No Class (NO),,,,,,,,,No Class (NO),,,,,,,,,Comp. Org. & Assembly L. (CS-C),,,,,,,,,No Class (NO),,,,,,,,,Pakistan Studies (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,Applied Physics (CS-H),,,,,,,,,Applied Physics (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-H),,,,,,,,,Sociology (CS-B),,,,,,,,,Sociology (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,Professional Issues in IT (CS-A),,,,,,,,,Professional Issues in IT (CS-B),,,,,,,,,Comp. Org. & Assembly L. (CS-A),,,,,,,,,Comp. Org. & Assembly L. (CS-B),,,,,,,,,French Language (CS-A),,,,,,,,,French Language (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,Numerical Methods (CS-C),,,,,,,,,No Class (NO),,,,,,,,,Design & Analysis of Algorithms (CS-C),,,,,,,,,Design & Analysis of Algorithms (CS-D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,Total Quality Management (CS),,,,,,,,,Database Systems (CS-A),,,,,,,,,Database Systems (CS-B),,,,,,,,,Design & Analysis of Algorithms (CS-E),,,,,,,,,Network Security (CS),,,,,,,,,Database Systems (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Digital Logic Design (CS-B) ,,,,,,,,,Database Systems (CS-C),,,,,,,,,Database Systems (CS-D),,,,,,,,,Fundamental of Computer Vision (CS-B),,,,,,,,,No Class (NO),,,,,,,,,Fundamental of Computer Vision (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
